manufacturer_id,seller_id,name,price,winter,truck,brand
ШГТ-016,Задняя ось,315/70 R22.5 PR16 D905 (Linglong),"4,580.00",0,0,Ling Long
ШГТ-017,Задняя ось,315/60 R22.5 PR16 D915 (Linglong),"4,280.00",0,0,Ling Long
ШГТ-025,Задняя ось,295/60 R22.5 PR16 D915 (Linglong),"3,850.00",0,0,Ling Long
ШГТ-018,Передняя ось/задняя,315/80 R22.5 PR18 LLF02 (Linglong),"4,870.00",0,0,Ling Long
ШГТ-019,Передняя ось/задняя,295/80 R22.5 PR16 LLF02 (Linglong),"4,350.00",0,0,Ling Long
ШГТ-020,Передняя ось,295/60 R22.5 PR16 LLF01 (Linglong),"3,750.00",0,0,Ling Long
ШГТ-021,Задняя ось,315/80 R22.5 PR20 LLD01 (Linglong),"4,980.00",0,0,Ling Long
ШГТ-022,Прицепная,425/65 R22.5 PR20 LLA38 (Linglong),"7,600.00",0,0,Ling Long
ШГТ-023,Задняя ось карьерная,315/80 R22.5 PR20 D960 (Linglong),"4,990.00",0,0,Ling Long
ШГТ-024,Задняя ось/Передняя ось,11 R22.5 PR16 LLF06 (Linglong),"3,850.00",0,0,Ling Long
ШГТ-026,Прицепная,385/65 R22.5 PR20 LLA18 (Linglong),"5,480.00",0,0,Ling Long
ШГТ-027,Прицепная,385/55 R22.5 PR20 T830 (Linglong),"5,570.00",0,0,Ling Long
ШГТ-028,Передняя ось/Прицепная,275/70 R22.5 PR16 F820 (Linglong),"3,360.00",0,0,Ling Long
ШГТ-029,Прицепная,265/70 R19.5 PR16 F820 (Linglong),"3,250.00",0,0,Ling Long
ШГТ-037,Задняя ось,315/80 R22.5 PR18 LLD01 (Linglong),"4,850.00",0,0,Ling Long
ШГТ-039,задняя ось,295/80 R22.5 PR16 LDE803 (Linglong),"4,500.00",0,0,Ling Long
ШГТ-040,Передняя ось,315/60 R22.5 PR16 LLF01 (Linglong),"4,150.00",0,0,Ling Long
ШГТ-041,Прицепная,235/75 R17.5 PR18 LLA78 (Linglong),"2,580.00",0,0,Ling Long
ШГТ-062,Прицепная,215/75 R17.5 PR16 LLF86 (Linglong),"2,450.00",0,0,Ling Long
ШГТ-043,Задняя ось,275/70 R22.5 PR16 D905 (Linglong),"3,470.00",0,0,Ling Long
ШГТ-051,Прицепная,385/65 R22.5 PR20 LLA38 (Linglong),"5,480.00",0,0,Ling Long
ШГТ-055,Передняя ось,295/80 R22.5 PR16 FE805 (Linglong),"4,350.00",0,0,Ling Long
ШГТ-053,Передняя ось,295/60 R22.5 PR16 LLF02 (Linglong),"3,750.00",0,0,Ling Long
ШГТ-056,Передняя ось,315/80 R22.5 PR20 LLF06 (Linglong),"4,950.00",0,0,Ling Long
ШГТ-057,Задняя ось,"13 R22,5 PR18 D960 (Linglong)","5,700.00",0,0,Ling Long
ШГТ-058,Передняя ось,"13 R22,5 PR18 LLA01 (Linglong)","5,600.00",0,0,Ling Long
ШГТ-059,Передняя ось,315/80 R22.5 PR20 LLA08 (Linglong),"4,950.00",0,0,Ling Long
ШГТ-064,Задняя ось/Передняя ось,11 R22.5 PR16 LLD27 (Linglong),"3,980.00",0,0,Ling Long
ШГТ-068,Передняя ось,275/70 R22.5 PR16 F805 (Linglong),"3,360.00",0,0,Ling Long
ШГТ-069,передняя ось,"285/70 R19,5 PR18 F820 (Linglong)","3,870.00",0,0,Ling Long
ШГТ-084,Прицепная,255/70 R22.5 PR16 F820 (Linglong),"3,680.00",0,0,Ling Long
ШГТ-083,Прицепная,"385/55 R19,5 PR18 T820 (Linglong)","5,570.00",0,0,Ling Long
ШГТ-085,Задняя ось,275/70 R22.5 PR16 U801 (Linglong),"3,470.00",0,0,Ling Long
ШГТ-086,Задняя ось,245/70 R17.5 PR18 D905 (Linglong),"2,860.00",0,0,Ling Long
ШГТ-087,Прицепная/передняя ось,245/70 R17.5 PR18 LLA78 (Linglong),"2,820.00",0,0,Ling Long
ШГТ-088,Передняя ось/задняя,7.5 R16LT LMC4 (Linglong),"1,770.00",0,0,Ling Long
ШГТ-089,заняя ось зимняя,295/80 R22.5 PR16 DW807 (Linglong),"4,440.00",0,0,Ling Long
ШГТ-090,заняя ось зимняя,315/70 R22.5 PR16 DW807 (Linglong),"4,650.00",0,0,Ling Long
ШГТ-091,заняя ось зимняя,315/80 R22.5 PR18 DW807 (Linglong),"4,900.00",0,0,Ling Long
ШГТ-092,Прицепная,385/65 R22.5 PR18 A938 (Linglong),"5,300.00",0,0,Ling Long
ШГТ-093,Передняя ось,305/70 R19.5 PR18 T820 (Linglong),"5,980.00",0,0,Ling Long
ШГТ-094,Задняя ось,265/70 R19.5 PR16 D960 (Linglong),"3,480.00",0,0,Ling Long
ШГТ-096,Передняя ось,215/75 R17.5 PR16 F855 (Linglong),"2,450.00",0,0,Ling Long
ШГТ-095,Задняя ось,245/70 R19.5 PR16 D955 (Linglong),"3,180.00",0,0,Ling Long
ШГТ-097,Задняя ось,9.5 R17.5  PR18 D960 (Linglong),"2,760.00",0,0,Ling Long
ШГТ-098,Передняя ось/Прицепная,9.5 R17.5  PR18 LF26 (Linglong),"2,680.00",0,0,Ling Long
163120,Задняя ось,315/80 R22.5 PR20 LDL831 (Linglong),"5,780.00",0,0,Ling Long
ШГТ-035,Задняя ось,11.00-20 PR18 LA96 (Linglong) с камерой,"4,950.00",0,0,Ling Long
259251,Задняя ось,295/80 R22.5 PR16 BI867 (Falken),"6,600.00",0,0,Falken
281287,Передняя ось,295/80 R22.5 PR16 RI117 (Falken),"6,450.00",0,0,Falken
259283,Задняя ось,315/80 R22.5 PR18 BI867 (Falken),"7,380.00",0,0,Falken
259261,Передняя ось,315/80 R22.5 PR18 RI117 (Falken),"7,300.00",0,0,Falken
259407,Задняя ось,315/70 R22.5 PR16 BI867 (Falken),"7,200.00",0,0,Falken
259401,Передняя ось,315/70 R22.5 PR16 RI128 (Falken),"7,150.00",0,0,Falken
259419,Прицепная/Передняя ось,385/65 R22.5 PR20 RI117 (Falken),"7,400.00",0,0,Falken
266483,Прицепная/Передняя ось,385/65 R22.5 PR20 RI128 (Falken),"8,000.00",0,0,Falken
293435,Прицепная/Передняя ось,215/75 R17.5 PR16 RI128 (Falken),"3,500.00",0,0,Falken
293311,Прицепная/Передняя ось,235/75 R17.5 PR18 RI128 (Falken),"4,100.00",0,0,Falken
259345,Прицепная/Передняя ось,245/70 R19.5 PR18 RI128 (Falken),"4,150.00",0,0,Falken
259381,Задняя ось,265/70 R19.5 PR18 MI527 (Falken),"4,900.00",0,0,Falken
259371,Прицепная/Передняя ось,265/70 R19.5 PR18 RI128 (Falken),"4,500.00",0,0,Falken
306275,Прицепная/Передняя ось,385/55 R22.5 PR20 RI128 (Falken),"8,150.00",0,0,Falken
305881,Передняя ось,315/60 R22.5 PR20 RI128 (Falken),"7,400.00",0,0,Falken
259271,Задняя ось,315/80 R22.5 PR20 GI307 (Falken),"7,380.00",0,0,Falken
259153, ,13 R22.5 PR18 GI307 (Falken),"7,900.00",0,0,Falken
288775, ,13 R22.5 PR18 LI257 (Falken),"8,000.00",0,0,Falken
